name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Bluetooth,,https://www.bluetooth.com/,https://commons.wikimedia.org/wiki/Special:FilePath/Bluetooth.svg,,,,,graduated,"kurze-distanz,pairing,koppeln,drahtlos,funk,wpan",,,"Bluetooth ermöglicht eine Ad-hoc oder Punkt-zu-Punkt Funk-Verbindung. Die Verbindung von zwei Geräten erfolgt über die Aktivierung zwischen den Geräte (Koppeln/ Pairing). Bluetooth bietet in der Variante LE ergänzende Funktionen zu Broadcast, Mesh und Geräteposition.",,,,,,,,,,,, Infrastruktur, Anschluss,true,,,,,,,,,,,,1998-09-01,1999-07-01,2025-04-29,,,,,,,,2025-11-11,https://www.bluetooth.com/specifications/specs/
Border Gateway Protocol (BGP),,https://github.com/bgp,logos/8113b974fdfd48ae1568e95aa2ea200dafbbeaea1e519eafe8294d3f85f14433.png,,,,,graduated,"netzwerk,isp,routing",,,"BGP ist ein entscheidendes Routing-Protokoll im Internet, das Netzwerke miteinander verbindet und dafür sorgt, dass Datenpakete ihren optimalen Weg durch verschiedene autonome Systeme finden. BGP ermöglicht es Internetdienstleistern (ISPs) und größeren Netzwerken, Routeninformationen effizient auszutauschen, um die Datenübertragung zu optimieren. Es spielt eine Schlüsselrolle bei der Aufrechterhaltung der Stabilität und Skalierbarkeit der globalen Internetinfrastruktur",,,,,,,,,,,, Infrastruktur, Verteilung,true,,,,,,,,,,,,1989-01-01,1994-01-01,2024-02-12,,,,,,,,2025-11-11,https://fgithub.com/bgp/bgpq4
Budibase,,https://budibase.com/,https://raw.githubusercontent.com/Budibase/budibase/master/packages/builder/public/logo.svg,,,,,graduated,"automations,open-source,datenquellen,low-code",,,"Budibase ermöglicht das schnelle Erstellen interner Business-Apps, mit vorgefertigten Komponenten und breiter Datenquellenunterstützung.",,,,,,,,,,,, Plattform, LowCode,true,,,,,,,,,,,,2019-06-06,2019-06-06,2025-09-19,,,,,,,,2025-11-11,https://docs.budibase.com/docs/what-is-budibase
C++,,https://isocpp.org/,https://commons.wikimedia.org/wiki/Special:FilePath/ISO_C%2B%2B_Logo.svg,,,,,graduated,"programmierung,sprache",,,C++ ist eine objektorientierte Programmiersprache für die Entwicklung von Systemsoftware.,,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,1983-01-01,1985-01-01,2024-10-19,,,,,,,,2025-11-11,https://isocpp.org/std/standing-documents
Cassandra,,https://cassandra.apache.org/,https://commons.wikimedia.org/wiki/Special:FilePath/Cassandra_logo.svg,,,,,graduated,"nosql,datenbank,spalten",,,Cassandra ist eine spaltenbasierte NoSQL-Datenbank. ,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2008-07-01,2008-07-01,2025-08-05,,,,,,,,2025-11-11,https://cassandra.apache.org/doc/latest/
Chroma,,https://www.trychroma.com/,https://raw.githubusercontent.com/chroma-core/chroma/main/docs/assets/chroma.svg,,,,,graduated,"datenbank,vektor",,,Chroma ist eine Vektor-Datenbank.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2022-10-22,2022-10-22,2025-10-05,,,,,,,,2025-11-11,https://docs.trychroma.com/docs/overview/introduction
circleCI,,https://circleci.com/,https://commons.wikimedia.org/wiki/Special:FilePath/CircleCI_Logo.svg,,,,,graduated,"pipeline,cd,bereitstellung,ci",,,"CircleCI ist eine CI/CD-Plattform zur Automatisierung des Softwareentwicklungsprozesses. Für mobile Entwickler bietet CircleCI robuste Umgebungen zum Erstellen, Testen und Bereitstellen von iOS- und Android-Apps.",,,,,,,,,,,, Betrieb, Inbetriebnahme,true,,,,,,,,,,,,2011-01-01,2011-01-01,2025-09-26,,,,,,,,2025-11-11,https://circleci.com/docs/
Comma-Separated Values (CSV),,https://datatracker.ietf.org/doc/html/rfc7111,https://commons.wikimedia.org/wiki/Special:FilePath/Text-csv-icon.svg,,,,,graduated,datenformat,,,CSV ist ein Datenformat für den Datenaustausch.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2005-10-01,2005-10-01,2014-01-01,,,,,,,,2025-11-11,https://datatracker.ietf.org/doc/html/rfc4180
Comprehensive Knowledge Archive Network (CKAN),,https://ckan.org/,https://commons.wikimedia.org/wiki/Special:FilePath/Ckan-logo-full.svg,,,,,graduated,"veroeffentlichung,datenkatalog,open-data,suche,bereitstellung",,,"CKAN ist ein Werkzeug für Open Data Portale zur Katalogisierung, Veröffentlichung, Suche und Bereitstellung von Daten. ",,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2007-06-17,2007-06-17,2025-05-07,,,,,,,,2025-11-11,https://github.com/ckan/ckan
Contour,,https://projectcontour.io/,https://projectcontour.io/img/contour.svg,,,,,graduated,"controller,orchestrierung,ingress",,,"Contour ist ein Open-Source Ingress Controller für Kubernetes, der den Envoy Proxy und Lastenausgleich nutzt. Er fungiert als Steuerungsebene (Control Plane) für Envoy und ermöglicht dynamische Konfigurationsaktualisierungen sowie die Delegation von Ingress-Funktionen. Contour ist leichtgewichtig und bietet Funktionen wie TLS-Terminierung, HTTP zu HTTPS-Weiterleitung und verschiedene Lastausgleichsoptionen. ",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2017-11-22,2017-11-22,2025-09-09,,,,,,,,2025-11-11,https://github.com/projectcontour/contour
CouchDB,,https://couchdb.apache.org/,https://commons.wikimedia.org/wiki/Special:FilePath/CouchDB_logo.svg,,,,,graduated,"nosql,datenbank,dokumentenbasiert",,,CouchDB ist eine dokumentenorientierte NoSQL-Datenbank.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2005-04-01,2005-04-01,2025-05-06,,,,,,,,2025-11-11,https://docs.couchdb.org/en/stable/
CSS,,https://www.w3.org/Style/CSS/,https://commons.wikimedia.org/wiki/Special:FilePath/CSS3_logo_and_wordmark.svg,,,,,graduated,"stil,user-interface",,,"Cascading Style Sheets (CSS) ist eine Kernsprache der offenen Webplattform und wird zum Hinzufügen von Stilen (z. B. Schriftarten, Farben, Abstände) zu Webdokumenten verwendet.",,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,1994-10-10,1994-10-10,2025-09-18,,,,,,,,2025-11-11,https://www.w3.org/Style/CSS/
Data Catalog Vocabulary (DCAT),,https://www.w3.org/TR/vocab-dcat-3/,logos/6fb753239ff6b000653cd2026421bc71b84b2ff7d0ba1c5534ae44f70fd4a65a.png,,,,,graduated,"datenkatalog,open-data",,,DCAT dient der Beschreibung von Daten in Datenkatalogen.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2012-04-05,2012-04-05,2024-08-22,,,,,,,,2025-11-11,https://github.com/SEMICeu/DCAT-AP
Docker Swarm,,https://www.docker.com/,https://commons.wikimedia.org/wiki/Special:FilePath/Docker_(container_engine)_logo.svg,,,,,graduated,"orchestrierung,container",,,"Docker Swarm ist ein in die Docker-Engine integriertes Orchestrierungswerkzeug mit dem mehrere Docker-Hosts gebündelt werden können. Derart kann ein Cluster definiert werden. Es automatisiert das Deployment, die Skalierung und die Verwaltung von Containern und bietet eine einfache Benutzeroberfläche und integrierte Funktionen wie Service Discovery, Lastenausgleich und hohe Verfügbarkeit. ",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2016-03-18,2016-03-18,2025-09-10,,,,,,,,2025-11-11,https://docs.docker.com/engine/swarm/
Domain Name System (DNS),,https://datatracker.ietf.org/wg/dns/,https://commons.wikimedia.org/wiki/Special:FilePath/DNS_Architecture.svg,,,,,graduated,"adresse,netzwerk",,,"Das DNS ist ein hierarchisches, dezentrales Namensauflösungssystem, das menschenlesbare Domainnamen in IP-Adressen übersetzt. DNS ist fundamental für das Funktionieren des modernen Internets und ermöglicht die Navigation zwischen verschiedenen Online-Diensten.",,,,,,,,,,,, Infrastruktur, Verteilung,true,,,,,,,,,,,,1983-11-01,1983-11-01,2025-03-31,,,,,,,,2025-11-11,https://tools.ietf.org/html/rfc7858
Dynamic Host Configuration Protocol (DHCP),,https://datatracker.ietf.org/wg/dhc/about/,logos/e14790709b2b9424faf464e327769587e3b870830e820b5ae72b66202246bf71.png,,,,,graduated,"adresse,netzwerk",,,DHCP ermöglicht automatische Netzwerkkonfiguration durch dynamische Zuweisung von IP-Adressen und Netzwerkparametern an verbundene Geräte. Fungiert als zentraler Service für Plug-and-Play-Netzwerkkonnektivität und reduziert manuellen Administrationsaufwand in lokalen und Unternehmensnetzwerken.,,,,,,,,,,,, Infrastruktur, Verteilung,true,,,,,,,,,,,,1985-09-01,1993-10-01,2018-11-01,,,,,,,,2025-11-11,https://datatracker.ietf.org/doc/html/rfc8415
Elliptic Curve Integrated Encryption Scheme,,https://www.bsi.bund.de/SharedDocs/Downloads/DE/BSI/Publikationen/TechnischeRichtlinien/TR02102/BSI-TR-02102.pdf?__blob=publicationFile,logos/2864352165c46db240eb1d5346ae47817bf18f8957dc250b4d95b47e1de11c3b.png,,,,,graduated,"schluessel,hybrid,verschluesselung",,,ECIES ist ein hybrides Verschlüsselungsverfahren unter Kombination von Diffie-Hellman und elliptischen Kurven.,,,,,,,,,,,, Betrieb, Sicherheit,true,,,,,,,,,,,,1998-01-01,2001-01-01,2001-01-01,,,,,,,,,
Emissary Ingress,,https://www.getambassador.io/products/api-gateway,https://www.getambassador.io/images/emissary-icon-black.svg,,,,,graduated,"api,orchestrierung,gateway",,,"Ingress ist ein Open-Source-API-Gateway und Kubernetes-Ingress-Controller, der auf Envoy Proxy basiert und als zentraler Einstiegspunkt für den Datenverkehr zu Diensten in einem Kubernetes-Cluster fungiert. Er ermöglicht Entwicklern, den Datenverkehr zu ihren Anwendungen selbstständig über Kubernetes Custom Resource Definitions (CRDs) zu verwalten und bietet Funktionen wie Traffic-Management, Authentifizierung, Autorisierung, Rate Limiting und Observability. ",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2018-07-18,2018-07-18,2025-07-25,,,,,,,,2025-11-11,https://github.com/emissary-ingress/emissary
Envoy Proxy,,https://www.envoyproxy.io/,https://www.envoyproxy.io/img/envoy-logo.svg,,,,,graduated,"proxy,orchestrierung",,,"Envoy Proxy ist ein Open-Source-Proxy für Microservices. Ursprünglich von Lyft entwickelt und jetzt ein Projekt der Cloud Native Computing Foundation (CNCF) dient Envoy als Edge-Proxy an der Netzwerkschnittstelle oder als Sidecar-Proxy für Anwendungen. Er bietet Funktionen wie Lastausgleich, Service-Discovery, dynamische Konfiguration, Resilienz (z. B. Timeouts, Wiederholungsversuche) und Beobachtbarkeit (Metriken). ",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2016-09-12,2016-09-12,2025-09-08,,,,,,,,2025-11-11,https://github.com/envoyproxy/envoy
Ethernet,,https://www.ieee802.org/3/,logos/b7413d6096d3061cc59513240582bdeb01c42e5bb8878cc4149b97279de89079.png,,,,,graduated,"paket,kabelgebunden,rj,lan,frame",,,Mit Ethernet können kabelgebunden in kleiner bis mittlerer Reichweite Endgeräte vernetzt werden. Die IEEE standardisiert die Technologie mit IEEE 802.3 ff. Die Konfiguration erfolgt zumeist automatisch über das Betriebssystem. Wi-Fi dient als Kennzeichen für zertifizierte Produkte zur Sicherstellung von Interoperabilität. ,,,,,,,,,,,, Infrastruktur, Anschluss,true,,,,,,,,,,,,1980-03-13,1983-06-23,2024-03-15,,,,,,,,2025-11-11,https://ieeexplore.ieee.org/browse/standards/get-program/page/series?id=68
Extensible Markup Language (XML),,https://www.w3.org/XML/,https://commons.wikimedia.org/wiki/Special:FilePath/XML_Logo.svg,,,,,graduated,datenformat,,,XML ist ein Datenformat für den Datenaustausch.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,1996-06-01,1997-12-08,2006-09-29,,,,,,,,2025-11-11,https://www.w3.org/TR/xml11/
File Transfer Protocol über TLS (FTPS),,https://datatracker.ietf.org/doc/html/rfc4217,logos/8b8bc38dbc3847590ad66d13a5cc04a6a9cd20ceedd20a13ef60bed6e2c00d44.png,,,,,graduated,"datei,datenuebertragung",,,"FTPS dient der über TLS gesicherten Übertragung von Dateien. Es wurde entwickelt, um Dateien zuverlässig zu übertragen, Verzeichnisse zu verwalten (z.B. anlegen, löschen, navigieren) und den Zugriff auf entfernte Dateisysteme zu ermöglichen.",,,,,,,,,,,, Infrastruktur, Transport,true,,,,,,,,,,,,1971-04-16,1972-07-08,2005-10-01,,,,,,,,2025-11-11,https://www.cerberusftp.com/blog/eight-essential-tips-for-securing-an-ftp-or-sftp-server
Flutter,,https://flutter.dev/,https://commons.wikimedia.org/wiki/Special:FilePath/Google_Flutter_Logo.svg,,,,,graduated,user-interface,,,"Flutter ist ein Open-Source-UI-Toolkit zum Erstellen nativ kompilierter Anwendungen für Mobil-, Web-, Desktop- und eingebettete Geräte aus einer einzigen Codebasis.  ",,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,2017-05-12,2017-05-12,2024-01-10,,,,,,,,2025-11-11,https://docs.flutter.dev/
flux,,https://fluxcd.io/,https://fluxcd.io/img/logos/flux-icon@2x.png,,,,,graduated,"pipeline,cd,bereitstellung,ci",,,Flux ist ein Werkzeug zur Synchronisation von Ressourcen (u.a. Git Repo) und einem Kubernetes Clusters.,,,,,,,,,,,, Betrieb, Inbetriebnahme,true,,,,,,,,,,,,2020-05-06,2020-05-06,2025-07-08,,,,,,,,2025-11-11,https://fluxcd.io/flux/
Gecko,,https://firefox-source-docs.mozilla.org/overview/gecko.html,"https://commons.wikimedia.org/wiki/Special:FilePath/Firefox_logo,_2019.svg",,,,,graduated,"webseite,browser-engine,rendern",,,Gecko ist eine Browser-Engine zum Rendern von Webseiten. Es wird insbesondere von Mozilla für Firefox genutzt. ,,,,,,,,,,,, Zugang, Browser,true,,,,,,,,,,,,1998-11-01,2002-09-23,2025-10-14,,,,,,,,2025-11-11,https://github.com/mozilla
general-purpose Remote Procedure Calls,,https://grpc.io/,https://commons.wikimedia.org/wiki/Special:FilePath/GRPC_logo.svg,,,,,graduated,"rpc,api,schnittstelle",,,"gRPC ist ein leistungsstarkes, quelloffenes Framework, das effiziente Kommunikation zwischen verteilten Diensten ermöglicht. Es nutzt HTTP/2 und Protocol Buffers für schnelle, typsichere Datenübertragung und bietet Funktionen wie bidirektionales Streaming und Authentifizierung. Damit vereinfacht gRPC die Entwicklung von skalierbaren Microservices-Architekturen und verbessert im Vergleich zu REST die Leistung deutlich.",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2015-02-26,2015-02-26,2025-09-26,,,,,,,,2025-11-11,https://grpc.io/docs/
GitHub Actions,,https://github.com/actions,https://commons.wikimedia.org/wiki/Special:FilePath/GitHub_Actions_Logo.svg,,,,,graduated,"pipeline,cd,bereitstellung,ci",,,GitHub Actions können Entwicklungsprozesse automatisieren und anpassen (CI/CD).,,,,,,,,,,,, Betrieb, Inbetriebnahme,true,,,,,,,,,,,,2019-09-05,2019-09-05,2024-12-04,,,,,,,,2025-11-11,https://docs.github.com/en/actions
GitLab,,https://about.gitlab.com/,https://commons.wikimedia.org/wiki/Special:FilePath/GitLab_logo.svg,,,,,graduated,"pipeline,cd,bereitstellung,ci",,,"GitLab ist eine Plattform für den gesamten DevSecOps-Lebenszyklus. GitLab bietet Funktionen für Versionskontrolle (basierend auf Git), Projektplanung, Continuous Integration/Continuous Deployment (CI/CD), Code-Überprüfung, Sicherheitsscans und Fehlerverfolgung in einer einzigen Umgebung. ",,,,,,,,,,,, Betrieb, Inbetriebnahme,true,,,,,,,,,,,,2011-01-01,2011-01-01,2025-09-26,,,,,,,,2025-11-11,https://github.com/gitlabhq/gitlabhq
Glasfaser,,https://www.itu.int/,logos/8553c62f6cfa0c2eb48e1138d935c79ddd5d3c776969e3987eec488009888d33.png,,,,,graduated,"gigabit,kabel",,,Mit Glasfaser können Daten durch dünne Fasern in Lichtgeschwindigkeit übertragen werden. Im Kern werden Glasfaser für die Backbones genutzt aber zunehmend bis zum Endanschluss ausgebaut. ,,,,,,,,,,,, Infrastruktur, Anschluss,true,,,,,,,,,,,,1984-10-19,1984-10-19,2024-08-29,,,,,,,,2025-11-11,https://www.itu.int/itu-t/recommendations/index.aspx?ser=G
Go,,https://go.dev/,https://commons.wikimedia.org/wiki/Special:FilePath/Go_Logo_Blue.svg,,,,,graduated,"programmierung,sprache",,,Go ist eine Programmiersprache für Cloud- und Netzwerkanwendungen. ,,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,2009-01-01,2012-01-01,2025-10-13,,,,,,,,2025-11-11,https://go.dev/ref/spec
GraphQL,,https://graphql.org/,https://commons.wikimedia.org/wiki/Special:FilePath/GraphQL_Logo.svg,,,,,graduated,"abfrage,daten,schnittstelle",,,"Ein Abfragesprache und Laufzeitumgebung, die es Clients ermöglicht, genau die Daten abzufragen, die sie benötigen. Sie bietet eine effiziente und flexible Alternative zu traditionellen APIs, indem sie es Clients ermöglicht, nur die exakt benötigten Daten mit einem einzigen Aufruf abzurufen. Ein zentrales Element ist das GraphQL-Schema, das die Datenstrukturen definiert, und der Client sendet eine Abfrage (Query), die durch das Schema validiert und von einem Resolver auf dem Server ausgeführt wird. ",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2012-01-01,2015-10-02,2025-09-04,,,,,,,,2025-11-11,https://spec.graphql.org/
Haystack,,https://haystack.deepset.ai/,https://raw.githubusercontent.com/deepset-ai/haystack/main/docs/img/haystack_icon_colored.png,,,,,graduated,"orchestrierung,rag,verarbeitung,pipeline",,,"Haystack ist Framework für die Entwicklung von KI-Anwendungen. Das Framework ermöglicht es Entwicklern, produktionsreife Systeme für Aufgaben wie Retrieval-Augmented Generation (RAG), Dokumentensuche und Frage-Antwort-Systeme zu erstellen. ",,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2019-11-28,2019-11-28,2025-09-22,,,,,,,,2025-11-11,https://docs.haystack.deepset.ai/docs/intro
HBase,,https://hbase.apache.org/,https://commons.wikimedia.org/wiki/Special:FilePath/HBase_logo.svg,,,,,graduated,"nosql,datenbank,spalten",,,HBase ist eine spaltenorientierte NoSQL Datenbank. HBase ist Teil des Apache Hadoop-Ökosystems und basiert auf dem Bigtable-Modell. ,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2007-01-01,2008-03-28,2025-07-15,,,,,,,,2025-11-11,https://hbase.apache.org/book.html
HuggingFace Transformers,,https://huggingface.co/docs/transformers/index,https://commons.wikimedia.org/wiki/Special:FilePath/HuggingFace_logo.svg,,,,,graduated,"deep-learning,dl,transformer,verarbeitung",,,"HuggingFace Transformers ist eine Open-Source-Bibliothek für state-of-the-art Machine Learning Modelle in Text-, Vision-, Audio- und multimodalen Anwendungen. Die Bibliothek fungiert als zentrales Model-Definition-Framework, das nahtlose Kompatibilität zwischen verschiedenen Deep Learning Frameworks wie PyTorch, TensorFlow und JAX bietet. Transformers demokratisiert den Zugang zu über 1 Million vortrainierten Modellen auf dem Hugging Face Hub und ermöglicht sowohl Inferenz als auch Training mit einer einheitlichen API.",,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2018-11-17,2018-11-17,2025-09-17,,,,,,,,2025-11-11,https://github.com/huggingface/transformers
Hypertext Transfer Protocol (HTTP),,https://datatracker.ietf.org/wg/httpbis/documents/,https://commons.wikimedia.org/wiki/Special:FilePath/HTTP_logo.svg,,,,,graduated,"multiplexing,datenuebertragung,webseiten,internet",,,"HTTP wird verwendet um Ressoucen wie Webseiten, APIs, Formulare, Bilder oder Videos abzurufen und zu senden.",,,,,,,,,,,, Infrastruktur, Transport,true,,,,,,,,,,,,1989-03-01,1991-08-01,2022-06-01,,,,,,,,2025-11-11,https://datatracker.ietf.org/doc/html/rfc9114
Internal Gateway Protocols (IGP),,https://datatracker.ietf.org/wg/,logos/e0937879a6b5ad450ba20172c3041a59ab37b2d98a1e91b1aeaaad3a962edf4b.png,,,,,graduated,"netzwerk,internet",,,"IGP sind Routing-Protokolle, die für die automatische Weiterleitung von Datenpaketen innerhalb eines autonomen Systems verwendet werden. Sie ermöglichen es Routern, dynamisch die besten Pfade zu Zielnetzwerken zu ermitteln und sich automatisch an Netzwerkänderungen anzupassen. IGPs sind essentiell für die Funktionsfähigkeit moderner IP-Netzwerke in Unternehmen und Service-Provider-Umgebungen.",,,,,,,,,,,, Infrastruktur, Verteilung,true,,,,,,,,,,,,1988-10-01,1988-10-01,2023-02-01,,,,,,,,2025-11-11,https://www.rfc-editor.org/rfc/rfc9350.html
Internet Message Access Protocol Secure (IMAPS),,https://datatracker.ietf.org/doc/html/rfc9051,logos/1f4afc32e0b84f6b451588f2487892fbcb9405546cc5fb1b53cd07279f5606c2.png,,,,,graduated,"dateiuebertragung,e-mail",,,IMAPS dient dem sicheren Zugriff auf E-Mails auf Mailservern. Die E-Mails verbleiben dabei auf dem Mailserver.,,,,,,,,,,,, Infrastruktur, Transport,true,,,,,,,,,,,,1988-07-02,1988-07-02,2021-08-01,,,,,,,,,
